id,created_at,username,module,action,case_id,detail
1,2026-07-25T12:48:12.850Z,,maintenance,reset,,Cleared all cases and entities.
2,2026-07-25T12:48:24.581Z,,intake,created,CASE_2CF24DBA5F,hello
3,2026-07-25T12:48:33.174Z,,evidence,upload,CASE_2CF24DBA5F,yeti.jpg
4,2026-07-25T12:49:39.925Z,,admin,login,,
5,2026-07-25T12:49:42.839Z,,admin,delete_case,CASE_2CF24DBA5F,deleted; refreshed 0 linked case(s)
6,2026-07-25T12:49:51.768Z,,intake,created,CASE_2CF24DBA5F,hello
7,2026-07-25T12:50:00.689Z,,evidence,upload,CASE_2CF24DBA5F,yeti.jpg
8,2026-07-25T12:53:07.177Z,,evidence,upload,CASE_2CF24DBA5F,whatsapp_chat_export.txt
9,2026-07-25T12:53:23.171Z,,evidence,upload,CASE_2CF24DBA5F,romanchat.jpg
10,2026-07-25T12:53:47.007Z,,evidence,upload,CASE_2CF24DBA5F,phishing_email_screenshot.png
11,2026-07-25T12:53:55.968Z,,investigation,run_analysis,CASE_2CF24DBA5F,
12,2026-07-25T12:55:21.524Z,,intake,created,CASE_8F43434664,hi
13,2026-07-25T12:55:29.484Z,,evidence,upload,CASE_8F43434664,romanchat.jpg
14,2026-07-25T12:55:59.637Z,,evidence,upload,CASE_8F43434664,phishing_email_screenshot.png
15,2026-07-25T12:56:12.276Z,,evidence,upload,CASE_8F43434664,bank_transactions.csv
16,2026-07-25T12:56:24.331Z,,evidence,upload,CASE_8F43434664,police_scan_report.pdf
17,2026-07-25T12:58:09.041Z,,evidence,upload,CASE_8F43434664,const.jpg
18,2026-07-25T13:02:00.075Z,,investigation,run_analysis,CASE_8F43434664,
19,2026-07-25T13:48:53.222Z,,intake,created,CASE_36BBE50ED9,abcde
20,2026-07-25T13:49:37.742Z,,evidence,upload,CASE_36BBE50ED9,police_scan_report.pdf
21,2026-07-25T13:49:40.301Z,,evidence,upload,CASE_36BBE50ED9,bank_transactions.csv
22,2026-07-25T13:49:48.779Z,,investigation,run_analysis,CASE_36BBE50ED9,
23,2026-07-25T13:51:40.217Z,,intake,created,CASE_9350872D71,pay
24,2026-07-25T13:51:58.568Z,,evidence,upload,CASE_9350872D71,police_scan_report.pdf
25,2026-07-25T13:52:01.138Z,,evidence,upload,CASE_9350872D71,romanchat.jpg
26,2026-07-25T13:52:24.215Z,,investigation,run_analysis,CASE_9350872D71,
27,2026-07-25T13:53:40.411Z,,admin,login,,
28,2026-07-25T13:53:49.268Z,,investigation,run_analysis,CASE_8F43434664,
29,2026-07-25T13:56:06.767Z,,evidence,submit_url,CASE_9350872D71,https://plasticostermoencogibles.pe/scss/css/scss/
30,2026-07-25T13:56:14.922Z,,investigation,run_analysis,CASE_9350872D71,
31,2026-07-25T13:56:36.801Z,,reports,download,CASE_9350872D71,investigation_report_v2.md
32,2026-07-25T14:11:41.836Z,,intake,created,CASE_4106C94201,URL-VERDICT-TEST-2026
33,2026-07-25T14:11:41.911Z,,evidence,submit_url,CASE_4106C94201,https://www.telegrammessage.com/
34,2026-07-25T14:11:56.024Z,,investigation,run_analysis,CASE_4106C94201,
35,2026-07-25T14:12:49.004Z,,investigation,run_analysis,CASE_4106C94201,
