recorded_at,evidence_id,case_id,file_name,sha256,md5,file_size_bytes
2026-07-25T16:24:18.083Z,EVID_00005,CASE_EE8250FB76,EVID_00005__238e5145__08_complaint_letter.pdf,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,e17e7e50a732d802fb4beb65f3261a7b,3750
2026-07-25T17:16:46.807Z,EVID_00007,CASE_185915593C,EVID_00007__43087bac__01_sms_screenshot.jpg,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,05471bdae74b0a57a20a1dc2a20d3a05,19872
2026-07-25T17:17:42.862Z,EVID_00008,CASE_185915593C,EVID_00008__24fa44ef__02_messenger_chat.jpg,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,2815ceeb4ec0a13c892fc10903498d31,64791
2026-07-25T17:18:41.771Z,EVID_00009,CASE_185915593C,EVID_00009__4a5c4214__03_qr_code_flyer.png,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,bbd162dafca012d85498f7723b7e1919,34318
2026-07-25T17:19:04.836Z,EVID_00010,CASE_185915593C,EVID_00010__2dd175d2__04_esewa_payment_screenshot.jpg,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,ce85e949a68e8f118d090975caeacd78,22001
2026-07-25T17:20:06.396Z,EVID_00011,CASE_185915593C,EVID_00011__2a6393e0__05_khalti_receipt.jpg,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,e88d3f571903d5174ab176504ae917d2,23769
2026-07-25T17:20:36.142Z,EVID_00012,CASE_185915593C,EVID_00012__72886ed6__06_phishing_email_screenshot.jpg,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,bcbaed132db777ae827502ee51af00eb,25904
2026-07-25T17:26:17.422Z,EVID_00013,CASE_185915593C,EVID_00013__f45f620d__07_bank_transfer_slip.pdf,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,038170639b0630f855effff4f2bfe16d,108986
2026-07-25T17:26:20.614Z,EVID_00014,CASE_185915593C,EVID_00014__063e17da__08_complaint_letter.pdf,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,e17e7e50a732d802fb4beb65f3261a7b,3750
2026-08-03T14:00:02.836Z,EVID_00015,CASE_1A1BF573F3,EVID_00015__ccf57c11__01_sms_screenshot.jpg,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,05471bdae74b0a57a20a1dc2a20d3a05,19872
2026-08-03T14:00:14.152Z,EVID_00016,CASE_1A1BF573F3,EVID_00016__958539b6__02_messenger_chat.jpg,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,2815ceeb4ec0a13c892fc10903498d31,64791
2026-08-03T14:00:17.950Z,EVID_00017,CASE_1A1BF573F3,EVID_00017__05312fde__03_qr_code_flyer.png,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,bbd162dafca012d85498f7723b7e1919,34318
2026-08-03T14:00:22.113Z,EVID_00018,CASE_1A1BF573F3,EVID_00018__0a935ec9__04_esewa_payment_screenshot.jpg,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,ce85e949a68e8f118d090975caeacd78,22001
2026-08-03T14:00:26.079Z,EVID_00019,CASE_1A1BF573F3,EVID_00019__45eb7684__05_khalti_receipt.jpg,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,e88d3f571903d5174ab176504ae917d2,23769
2026-08-03T14:00:30.957Z,EVID_00020,CASE_1A1BF573F3,EVID_00020__b805dbe7__06_phishing_email_screenshot.jpg,b6ec522eddc05475f9ec7671ec46098a129fa8be863cc270c97b42b702e71134,bcbaed132db777ae827502ee51af00eb,25904
2026-08-03T14:00:53.692Z,EVID_00021,CASE_1A1BF573F3,EVID_00021__6a43ec88__07_bank_transfer_slip.pdf,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,038170639b0630f855effff4f2bfe16d,108986
2026-08-03T14:00:54.466Z,EVID_00022,CASE_1A1BF573F3,EVID_00022__f5eb2b4c__08_complaint_letter.pdf,fe644062bf75e62c8ae13ec24c7e0461491a5610095a50546c4fa757d98e866f,e17e7e50a732d802fb4beb65f3261a7b,3750
2026-08-03T14:00:55.109Z,EVID_00023,CASE_1A1BF573F3,EVID_00023__24797250__bank_transactions.csv,fbc5fcf7403a5aa8c042baed4343d0162e8d3506ff5d1163864662d25602e87e,ff2a5c4bb00287c3333799c306905d13,184
2026-08-03T14:00:57.366Z,EVID_00024,CASE_1A1BF573F3,EVID_00024__db49d752__phishing_email_screenshot.png,8ef0f27a84960b656d9051892e36096ce56fe9f30eb9a935d4d4330a002b9b7f,f11328081222c3f8ff4b9f7418cbf473,11738
2026-08-03T14:01:00.660Z,EVID_00025,CASE_1A1BF573F3,EVID_00025__d96bd945__romanchat.jpg,0340d5863313f4cc0b9b40ed835a77a71b8304d2e08eb32f08a56ed93a6e0b10,13337cd30f8412fe8f8be6da69498b53,33294
2026-08-20T14:46:35.801Z,EVID_00006,CASE_EE8250FB76,EVID_00006__ae2ee49e__07_bank_transfer_slip.pdf,6f1cc10ae55d554c751ee1cbf688924c8962c5faebe87be8c457d077d6bc63c2,038170639b0630f855effff4f2bfe16d,108986
2026-08-21T03:27:25.360Z,EVID_00015,CASE_1A1BF573F3,EVID_00015__d558b373__01_sms_screenshot.jpg,905b21d603ca0a6f49fd226e46470c85d509dce56f8ab68edce76b6b7ff8cec7,05471bdae74b0a57a20a1dc2a20d3a05,19872
2026-08-21T03:27:25.538Z,EVID_00016,CASE_1A1BF573F3,EVID_00016__10b0e203__02_messenger_chat.jpg,bb246839287ca1bcc1f6a38bbdf26489ef6eb74213b7fc2d224597a910bf4ef4,2815ceeb4ec0a13c892fc10903498d31,64791
2026-08-21T03:27:25.796Z,EVID_00017,CASE_1A1BF573F3,EVID_00017__8facd319__03_qr_code_flyer.png,6f712c8b0e4fb6c50d156a1bf002713b4bbd60bf7db0a9cf7fbe3ea04b2cbdf9,bbd162dafca012d85498f7723b7e1919,34318
2026-08-21T03:27:25.885Z,EVID_00018,CASE_1A1BF573F3,EVID_00018__47bf36a0__04_esewa_payment_screenshot.jpg,3a19295ff003a894311ef7efcf80bb94c8feec5a69590c3052f7f8d60ce7217b,ce85e949a68e8f118d090975caeacd78,22001
2026-08-21T03:27:25.972Z,EVID_00019,CASE_1A1BF573F3,EVID_00019__bd442258__05_khalti_receipt.jpg,54a62cd3ad10a85b9b060ff73dcab3d5fb2bb3f073f3bcab66f90ae45d7d779b,e88d3f571903d5174ab176504ae917d2,23769
